Date,Location,Lease ID,Unit Number,SQM,Retailer,Sales,Sector,Sector detail
03/03/2014,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/05/2014,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/05/2014,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/07/2014,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/08/2014,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/10/2014,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/12/2014,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/01/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
03/03/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/05/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/05/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/07/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/08/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/01/2014,Blanchardstown Centre,M00004970,Unit 259,10,Retailer 14,0,Kiosk,F&B
31/01/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
03/03/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
31/03/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
01/05/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
31/05/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
01/07/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
31/07/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
31/08/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
01/10/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
31/10/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
01/12/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
31/12/2014,Blanchardstown Centre,M00004995,Unit 315,244.99,Retailer 15,0,Fashion,Mixed
01/10/2015,Blanchardstown Centre,M00004878,Unit 128,65.22,Retailer 16,0,Toys & Giftware,Gift shop
31/10/2015,Blanchardstown Centre,M00004878,Unit 128,65.22,Retailer 16,0,Toys & Giftware,Gift shop
01/12/2015,Blanchardstown Centre,M00004878,Unit 128,65.22,Retailer 16,0,Toys & Giftware,Gift shop
31/12/2015,Blanchardstown Centre,M00004878,Unit 128,65.22,Retailer 16,0,Toys & Giftware,Gift shop
31/01/2016,Blanchardstown Centre,M00004878,Unit 128,65.22,Retailer 16,0,Toys & Giftware,Gift shop
02/03/2016,Blanchardstown Centre,M00004878,Unit 128,65.22,Retailer 16,0,Toys & Giftware,Gift shop
31/10/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/12/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/01/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
02/03/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/05/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/05/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/07/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/08/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/10/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
